class,name,cur_status,data_json
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2024-09-01""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1695"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""Type"":[null,{""Content"":""145"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""Responsible"":[null,{""Content"":""55"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}]}],""TagKey"":""[1]""}]"
"Approvals","","Approvals::недействительно","[null,{""Version"":[null,{""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2022-10-04""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1695""}],""TagKey"":""[1]{'Version'}[1]"",""Type"":[null,{""Content"":""143"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""21""}]}],""TagKey"":""[1]""}]"
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2024-07-10""}],""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1695""}],""TagKey"":""[1]{'Version'}[1]"",""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""5""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""Type"":[null,{""Content"":""143"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}]}],""TagKey"":""[1]""}]"
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""146""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2025-02-02""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1690"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}]}],""TagKey"":""[1]""}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Type"":[null,{""Content"":""144"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""Owner"":[null,{""Content"":""1690"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2027-04-27""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""Type"":[null,{""Content"":""145"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""EndDate"":[null,{""Content"":""2025-02-02"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""Owner"":[null,{""Content"":""1690"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""Owner"":[null,{""Content"":""1690"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2025-01-09""}],""Responsible"":[null,{""Content"":""55"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Type"":[null,{""Content"":""143"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}]}],""TagKey"":""[1]""}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Responsible"":[null,{""Content"":""55"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Type"":[null,{""Content"":""143"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""EndDate"":[null,{""Content"":""2025-03-20"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1689""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Type"":[null,{""Content"":""145"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""Responsible"":[null,{""Content"":""55"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2025-05-20""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1692""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Type"":[null,{""Content"":""146"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""Responsible"":[null,{""Content"":""55"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""Owner"":[null,{""Content"":""1692"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2025-05-10""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Responsible"":[null,{""Content"":""55"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Type"":[null,{""Content"":""147"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1692"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2025-05-10""}]}]}]"
